record_id,hotel_name,date,meal_type,food_item,quantity_wasted_kg,reason
355,Hotel Buffet,2025-12-21,Breakfast,Pasta,3.88,Improper Storage
356,Hotel Buffet,2025-12-22,Dinner,Chicken Curry,3.3,Expired
357,Hotel Buffet,2025-12-23,Dinner,Idli,3.9,Improper Storage
358,Hotel Buffet,2025-12-24,Lunch,Pizza,2.53,Overproduction
359,Hotel Buffet,2025-12-25,Breakfast,Upma,4.02,Improper Storage
360,Hotel Buffet,2025-12-26,Dinner,Sandwich,2.19,Improper Storage
361,Hotel Buffet,2025-12-27,Lunch,Paneer Curry,4.23,Overproduction
362,Hotel Buffet,2025-12-28,Dinner,Sambar,1.64,Preparation Waste
363,Hotel Buffet,2025-12-29,Lunch,Pasta,4.22,Improper Storage
364,Hotel Buffet,2025-12-30,Dinner,Biryani,1.57,Plate Waste
365,Hotel Buffet,2025-12-31,Lunch,Dosa,2.6,Plate Waste
